id,name,genre,artists,album,popularity,duration_ms,explicit,genre_id,artists_id,album_id,duration_s
0TDZKYDx1ycc9VzGCQ5315,Agiborê (Fatboy Slim Presents MPB4),mpb,"MPB4, DJ Marky",Fatboy Slim Presents Bem Brasil,0.2777777777777778,301640,0,78,2454,1403,0.3438587694875038
7oV1mzPC3YZ8IGsReVZC0H,Romance,romance,YOASOBI,Romance,0.4,168461,0,102,4354,3429,0.1752352807859195
2oxch2RDLuVqk1fRNytNMG,r-n-b,r-n-b,"2kupzz, Gemi",Toxic Summa,0.0,174983,1,94,29,4340,0.18349305711185476
6RncZITxpMOczqggjZR1g4,Rockabilly,rockabilly,Fito Paez,Camino Sinuoso (Banda Sonora Original de la Película),0.03333333333333333,30060,0,101,1413,669,0.0
7g4r6BGlrWtayJmU0Gxm0v,Circle 29,ambient,"Foam and Sand, Robot Koch, TWO LANES",Foam and Sand,0.3666666666666667,178951,0,4,1434,1464,0.18851710747390799
0xBWSiGRg0W7ayJgGQmuB7,Industrial,industrial,Chemicalbloo,City Scene,0.0,182971,0,60,751,795,0.19360699720562524
78qLGSCIZmrkcAtgkWzVKC,Kiss (feat. Tom Jones),synth-pop,"The Art Of Noise, Tom Jones",Synth Pop Party,0.14444444444444446,211946,0,118,3833,3909,0.2302934536674428
2J02D2gEGCrcgyWGaC6FT0,Death Metal Guys,rockabilly,The Reverend Horton Heat,Laughin' & Cryin' With The Reverend Horton Heat,0.17777777777777778,200320,0,101,3950,2324,0.21557328998064068
01MV13Hg9sfFNtgcMidjgE,Ambient White Tones,ambient,Hovar,Lean Noise,0.6888888888888889,123702,0,4,1748,2331,0.11856404334762806
6Tmh8Ub4KXPA6Y2dkRpCHs,Studying Music,study,Spa,"Spa Music: Soothing and Relaxing Piano Music for Spa, Yoga, Meditation, Massage Therapy, Wellness, Studying Music and Sleeping Music",0.43333333333333335,125568,0,115,3627,3756,0.12092666380518637
26WPI2aksB9XdqmeLfca5z,Funky Kingston,funk,Toots & The Maytals,Funky Kingston,0.5666666666666667,295666,0,38,4077,1546,0.3362948388264892
6qQPzp3PVW9AjeR6n1y5aj,When I Pay You Back Someday,singer-songwriter,"Michael Feuerstack, Leif Vollebekk",Singer Songer,0.2888888888888889,172731,0,108,2626,3622,0.18064170594871365
13njAmmtaZ35Hifrs3Mglg,Death Wish,dubstep,Subtronics,Wooked On Tronics EP,0.35555555555555557,183774,0,30,3705,4649,0.19462370901024434
7MB6T9tkVkXrJcxtg12dfI,天堂的花火,cantopop,Alan Tam,Cantopop,0.022222222222222223,214312,0,13,174,678,0.23328914498715503
1qtVJIaFWa5XfjCZAuzuXJ,Malayali Da,malay,ThirumaLi,Malayali Da,0.4444444444444445,196098,0,71,4018,2546,0.2102276396206133
